This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   53.000000    0.001030    0.000001    0.021249   0.011615   0.010255   0.002343
   54.000000    0.001032    0.000001    0.021247   0.011615   0.010255   0.002343
   55.000000    0.001034    0.000001    0.021246   0.011615   0.010255   0.002343
   56.000000    0.001035    0.000001    0.021244   0.011615   0.010255   0.002343
   57.000000    0.001037    0.000001    0.021242   0.011615   0.010255   0.002343
   58.000000    0.001039    0.000001    0.021241   0.011615   0.010255   0.002343
   59.000000    0.001040    0.000001    0.021239   0.011615   0.010255   0.002343
   60.000000    0.001041    0.000001    0.021238   0.011615   0.010255   0.002343
   61.000000    0.001043    0.000001    0.021237   0.011615   0.010255   0.002343
   62.000000    0.001044    0.000001    0.021235   0.011615   0.010255   0.002343
   63.000000    0.001045    0.000001    0.021234   0.011615   0.010255   0.002343
   64.000000    0.001046    0.000001    0.021233   0.011615   0.010255   0.002343
   65.000000    0.001048    0.000001    0.021232   0.011615   0.010255   0.002343
   66.000000    0.001049    0.000001    0.021231   0.011615   0.010255   0.002343
   67.000000    0.001050    0.000001    0.021230   0.011615   0.010255   0.002343
   68.000000    0.001051    0.000001    0.021229   0.011615   0.010255   0.002343
   69.000000    0.001052    0.000001    0.021228   0.011615   0.010255   0.002343
   70.000000    0.001052    0.000001    0.021227   0.011615   0.010255   0.002343
Finished simulation at a C/O ratio of 0.7
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    1.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    2.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    3.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    4.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    5.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    6.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    7.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    8.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
    9.000000    0.028898    0.011115    0.000000   0.000000   0.000000   0.000000
   10.000000    0.028897    0.011113    0.000000   0.000000   0.000001   0.000001
   11.000000    0.028812    0.010944    0.000000   0.000000   0.000171   0.000085
   12.000000    0.028650    0.010619    0.000000   0.000000   0.000496   0.000248
   13.000000    0.027725    0.008769    0.000000   0.000001   0.002346   0.001172
   14.000000    0.017622    0.000182    0.011118   0.005673   0.009199   0.003495
   15.000000    0.015829    0.000002    0.015499   0.008121   0.008473   0.002815
   16.000000    0.015227    0.000000    0.016975   0.009087   0.008224   0.002459
   17.000000    0.014879    0.000000    0.017820   0.009654   0.008086   0.002244
   18.000000    0.014634    0.000000    0.018422   0.010040   0.007978   0.002105
   19.000000    0.014446    0.000000    0.018900   0.010325   0.007882   0.002011
   20.000000    0.014292    0.000000    0.019296   0.010544   0.007793   0.001946
   21.000000    0.014253    0.000000    0.019318   0.010544   0.007793   0.001946
   22.000000    0.014230    0.000000    0.019336   0.010544   0.007793   0.001946
   23.000000    0.014212    0.000000    0.019352   0.010544   0.007793   0.001946
   24.000000    0.014196    0.000000    0.019368   0.010544   0.007793   0.001946
   25.000000    0.014180    0.000000    0.019383   0.010544   0.007793   0.001946
   26.000000    0.014165    0.000000    0.019398   0.010544   0.007793   0.001946
   27.000000    0.014151    0.000000    0.019413   0.010544   0.007793   0.001946
   28.000000    0.014136    0.000000    0.019428   0.010544   0.007793   0.001946
   29.000000    0.014122    0.000000    0.019443   0.010544   0.007793   0.001946
   30.000000    0.014108    0.000000    0.019457   0.010544   0.007793   0.001946
   31.000000    0.014094    0.000000    0.019471   0.010544   0.007793   0.001946
   32.000000    0.014080    0.000000    0.019485   0.010544   0.007793   0.001946
   33.000000    0.014066    0.000000    0.019499   0.010544   0.007793   0.001946
   34.000000    0.014053    0.000000    0.019512   0.010544   0.007793   0.001946
   35.000000    0.014039    0.000000    0.019526   0.010544   0.007793   0.001946
   36.000000    0.014026    0.000000    0.019539   0.010544   0.007793   0.001946
   37.000000    0.014013    0.000000    0.019552   0.010544   0.007793   0.001946
   38.000000    0.014000    0.000000    0.019565   0.010544   0.007793   0.001946
   39.000000    0.013988    0.000000    0.019578   0.010544   0.007793   0.001946
   40.000000    0.013975    0.000000    0.019591   0.010544   0.007793   0.001946
   41.000000    0.013963    0.000000    0.019603   0.010544   0.007793   0.001946
   42.000000    0.013950    0.000000    0.019616   0.010544   0.007793   0.001946
   43.000000    0.013938    0.000000    0.019628   0.010544   0.007793   0.001946
   44.000000    0.013926    0.000000    0.019640   0.010544   0.007793   0.001946
   45.000000    0.013914    0.000000    0.019652   0.010544   0.007793   0.001946
   46.000000    0.013903    0.000000    0.019664   0.010544   0.007793   0.001946
   47.000000    0.013891    0.000000    0.019675   0.010544   0.007793   0.001946
   48.000000    0.013880    0.000000    0.019687   0.010544   0.007793   0.001946
   49.000000    0.013868    0.000000    0.019699   0.010544   0.007793   0.001946
