,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
30,O[Pt] + [Pt] <=> O.[Pt] + [Pt],2.47436111272e-08,-7.06976734618e-11,-2.44318926593e-08,-3.82418383371e-10,-2.50235536964e-08,2.09238569209e-10,2.4814306247e-08,-2.51752061853e-08,-3.60898129913e-10,2.76092411382e-13,3.86529375934e-12,-38.0806845966
31,O + 2 [Pt] <=> O[Pt] + [Pt],-6.92173635618e-08,6.56625896648e-09,3.26575491169e-07,-2.50791859222e-07,-1.61915405675e-07,2.37699039187e-07,-7.57836240993e-08,-1.57562950715e-06,-1.65141312907e-06,-6.18771816097e-12,-5.0346263252e-12,62.8667481663
32,CO + 2 [Pt] <=> C[Pt] + O[Pt],-1.47846267481e-09,8.3476928375e-10,1.85588581803e-09,4.57343377701e-10,1.13948867648e-09,1.17373466113e-09,-2.31323099311e-09,6.0797939698e-10,-1.70525409787e-09,-3.25301823528e-11,-2.72844265366e-12,-38.6002444988
33,[OH] + [Pt] <=> O[Pt],1.60867964681e-08,-8.15307449561e-10,-1.46168824817e-08,-2.28522315126e-09,-1.74069340935e-08,5.04820614152e-10,1.69021070752e-08,-4.0063463075e-08,-2.31613604163e-08,3.24814601626e-14,7.95795773983e-13,-35.5745721271
34,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],3.55797085233e-08,2.09382294175e-08,-6.96092483205e-08,5.49677554909e-08,-5.01785356145e-09,-9.62363266145e-09,1.46414870728e-08,5.97308754574e-07,6.11950245152e-07,9.56579001787e-12,1.00692526504e-11,-17.1760391198
35,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.00012001937004,7.26412403704e-05,-0.000253631860288,0.000206253793893,-2.22859653469e-08,-4.73559005892e-05,4.73781865419e-05,0.00223517249272,0.00228255173825,1.89805087645e-08,1.89873461119e-08,-38.5696821516
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],4.35968133592e-05,2.32274872992e-05,-9.21104755316e-05,7.17411593529e-05,-2.67998997032e-08,-2.03425350345e-05,2.03693349335e-05,0.000811539231278,0.000831908731521,6.93956651935e-09,6.95213684443e-09,-38.4168704156
37,O=C[Pt] + O=[Pt] <=> O[Pt] + O=C=[Pt],2.79985265523e-08,5.44484759433e-09,-3.65810350605e-08,1.40273401044e-08,-2.02905945086e-08,-2.26308952387e-09,2.25536862446e-08,5.12183726535e-08,7.37720614052e-08,-5.2944780065e-12,-4.74229318373e-12,9.93276283619
38,O=C=O + [Pt] <=> O=C=O.[Pt],1.55765880453e-08,-1.95191953852e-10,-1.44764879195e-08,-1.2953083244e-09,-1.65645744502e-08,7.92781257949e-10,1.57717873529e-08,-1.70281351839e-08,-1.2563404683e-09,1.67279519837e-12,7.25960634633e-12,-38.9058679707
39,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],2.6213667073e-06,1.56796674271e-06,-5.52003575951e-06,4.46663582864e-06,-1.80783970807e-08,-1.03532159779e-06,1.05339998471e-06,4.83803134976e-05,4.94337139882e-05,4.03517179599e-10,4.04475382674e-10,-38.2029339853
40,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],1.02904420402e-07,-3.29249164979e-09,-3.60751164502e-07,2.54554236971e-07,1.28667185337e-07,-2.34864111269e-07,1.06196917967e-07,1.5534765345e-06,1.65967345705e-06,4.67733026341e-12,5.6355333382e-12,-19.0097799511
